manufacturer,title,price
Gibson,Les Paul 57 Silver Fox Gloss,"4,695"
Gibson,Les Paul 59 BS VOS Ltd,"5,755"
Gibson,Les Paul 58 Royal Tea Gloss,"4,429"
Schecter,Solo-II Apocalypse RR LH,"1,415"
Gibson,Les Paul 59 Royal Tea Gloss,"5,579"
Gibson,Les Paul 59 ITB Lefthand VOS,"5,579"
Gibson,Les Paul 58 Golden Poppy Gloss,"4,429"
Harley Benton,SC-200BK Student Series Bundle,238
Harley Benton,SC-450Plus LD / Mooer Bundle,308
Gibson,Les Paul 59 Kindred Burst UHA,"8,899"
Gibson,Les Paul 59 LB Lefthand VOS,"5,579"
Gibson,Les Paul 59 ITB Lefthand VOS,"5,579"
PRS,McCarty SC594 DS,"4,159"
Gretsch,G6128T-57 VS Duo Jet CG,"2,835"
Larry Carlton,L7 TBL LH,579
Solar Guitars,GC1.6 Vinter Pearl Whi B-Stock,929
Harley Benton,SC-450Plus VB Vintage S Bundle,315
Gibson,Les Paul 59 KBF Light Aged hpt,"7,529"
Gretsch,6134CST 55 Penguin SFP Relic,"6,799"
Gibson,57 LP Special SC TV Yellow ULA,"3,985"
ESP,LTD EC-1001FM Tiger Ey B-Stock,929
Epiphone,Les Paul Modern Figure B-Stock,495
Harley Benton,SC-400 SBK Vintage Seri Bundle,229
Gibson,Les Paul 60 Iced Tea VOS,"5,935"
Larry Carlton,L7 TS LH,579
Harley Benton,SC-450 P90 GT Classic S Bundle,255
Harley Benton,SC-450 CB Classic Serie Bundle,238
Larry Carlton,L7 GT LH,579
Gretsch,6134CST 59 Penguin CP Relic,"6,799"
Gretsch,6134CST 55 Penguin PCS Relic,"6,729"
Gretsch,6134CST 55 Penguin GS Relic,"6,729"
Gretsch,6130CS 55 DuoJet Western Relic,"7,439"
Harley Benton,SC-400 SBK Vintage Seri Bundle,273
Framus,D-Series Panthera Supr B-Stock,605
Godin,Summit Classic Havana Brown,"2,299"
Solar Guitars,GC1.6ROP+,"1,355"
Harley Benton,SC-450 BK Classic Serie Bundle,282
Chapman Guitars,ML2 Pro River Styx Bla B-Stock,979
Gretsch,6134CST 55 Penguin LPB Relic,"7,795"
ESP,LTD EC-1000QM STBC B-Stock,965
ESP,E-II Eclipse Snow Whit B-Stock,"1,939"
Gretsch,G2210 Streaml. Jr. Jet B-Stock,229
Gretsch,G6128T-53 VS Duo Jet B B-Stock,"2,399"
ESP,LTD EC-1000FR Black Sa B-Stock,"1,025"
Harley Benton,SC-200 BK Student Serie Bundle,211
